Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
"C1, C12, C16, C2, C23, C24, C26, C27, C28, C29, C3, C35, C4, C40, C5, C6, C8",0402,17,100nF,
"C10, C11, C30, C31",0402,4,18pF,
"C13, C14, C15",0805,3,2.2uF,
"C17, C18, C20, C21, C22, C33, C34",1210,7,22uF,
"C19, C25, C32, C36, C37",0805,5,10uF,
"C38, C39",0402,2,15pF,
C7,0805,1,4.7uF,
C9,0805,1,1uF,
D1,0603,1,GREEN,
DEBUGGER1,JST_EH_S5B-EH_1x05_P2.50mm_Horizontal,1,Conn_01x05_Pin,
FB1,0603,1,FerriteBead,
J1,SHOUHAN_TYPE-C_16PIN_2MD__073_,1,POWER,
J2,SHOUHAN_TYPE-C_16PIN_2MD__073_,1,DATA,
J3,microSD_HC_Wuerth,1,Micro_SD_Card_Det1,
J4,RJ45_Bel_SI-60062-F,1,RJ45_Bel_SI-60062-F,
J5,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,AudioJack3,
J6,PinHeader_2x14_P2.54mm_Vertical,1,Conn_02x14_Counter_Clockwise,
J7,PinHeader_2x12_P1.00mm_Vertical_SMD,1,Conn_02x12_Odd_Even,
J8,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,
J9,HDMI_Micro-D_Molex_46765-1xxx,1,HDMI_A,
L1,L_Wurth_WE-LQSH-2512,1,5.6uH,
L2,L_Wurth_WE-LQSH-4020,1,1.5uH,
"R1, R10, R12, R13, R14, R15, R16, R17, R9",0603,9,10K,
R11,0603,1,33K,
"R18, R19",0603,2,2.2K,
"R2, R3, R7, R8",0603,4,5.1K,
R4,0805,1,100K,
R5,0805,1,22.1K,
R6,0603,1,120R,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,RESET,
SW2,SW_SPDT_PCM12,1,BOOT,
U1,LQFP-100_14x14mm_P0.5mm,1,STM32H743VITx,
U2,SOT-23-6,1,LMR51430,
U3,VREG_TPS63070RNMR,1,TPS63070RNMR,
U4,VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,1,LAN8742A,
U5,TSSOP-30_4.4x7.8mm_P0.5mm,1,PCM1862DBT,
"Y1, Y2",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,25MHz,
Y3,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,8MHz,
