Designator,Mid X,Mid Y,Rotation,Layer
,163.802944,-103.12,0.0,top
C1,187.3,-69.1,90.0,bottom
C10,205.5,-74.3,0.0,bottom
C11,205.5,-75.9,180.0,bottom
C12,231.675,-84.8,270.0,top
C13,184.4,-83.3,270.0,top
C14,190.7,-70.6,180.0,bottom
C15,171.175,-94.825,270.0,top
C16,168.225,-91.875,0.0,top
C17,162.6,-88.475,90.0,top
C18,166.825,-88.475,90.0,top
C19,166.0,-66.45,0.0,top
C2,187.8,-82.525,90.0,bottom
C20,164.18,-65.625,270.0,bottom
C21,168.2,-65.625,270.0,bottom
C22,172.2,-65.625,270.0,bottom
C23,163.7,-63.65,270.0,top
C24,166.4,-77.0,180.0,bottom
C25,162.3,-76.0,90.0,bottom
C26,218.2,-67.4,270.0,top
C27,216.9,-61.3,90.0,top
C28,212.19,-62.56,270.0,top
C29,211.7,-66.1,270.0,bottom
C3,200.1,-67.5,0.0,top
C30,214.18,-60.705,180.0,bottom
C31,214.18,-59.005,0.0,bottom
C32,217.1,-79.67,90.0,bottom
C33,216.925,-76.32,0.0,bottom
C34,216.925,-83.02,0.0,bottom
C35,218.7,-79.8,90.0,bottom
C36,223.625,-82.17,180.0,top
C37,217.825,-85.52,90.0,top
C38,224.9,-79.9,270.0,top
C39,224.9,-77.9,90.0,top
C4,200.5,-86.6,270.0,top
C40,200.3,-73.9,270.0,bottom
C5,187.9,-79.3,270.0,bottom
C6,200.3,-80.0,90.0,bottom
C7,204.375,-78.6,270.0,top
C8,208.1,-71.3,270.0,bottom
C9,205.9,-72.35,0.0,top
D1,172.075,-89.385,180.0,top
DEBUGGER1,238.0,-81.0,270.0,top
FB1,205.9,-70.375,180.0,bottom
J1,190.0,-104.0,0.0,top
J2,175.0,-104.0,0.0,top
J3,165.9225,-77.125,90.0,top
J4,231.675,-62.715,90.0,top
J5,226.0,-100.5,180.0,top
J6,190.19,-53.73,90.0,top
J7,214.35,-99.6,0.0,top
J8,235.8,-96.075,90.0,top
J9,203.9,-105.0,0.0,top
L1,163.1125,-94.65,270.0,top
L2,171.0,-62.65,270.0,top
R1,233.925,-89.4,180.0,top
R10,163.4,-61.15,90.0,top
R11,177.275,-76.7,0.0,bottom
R12,177.275,-81.2,180.0,top
R13,177.275,-79.7,0.0,bottom
R14,177.275,-78.2,180.0,top
R15,177.275,-72.2,180.0,top
R16,177.275,-73.7,0.0,bottom
R17,177.275,-75.2,180.0,top
R18,223.425,-84.22,180.0,top
R19,220.675,-85.7,180.0,top
R2,177.475,-98.2,0.0,top
R3,172.6,-98.2,0.0,top
R4,165.3,-97.45,0.0,top
R5,168.455,-97.7375,270.0,top
R6,172.05,-87.5,180.0,top
R7,187.6,-98.3,0.0,top
R8,192.525,-98.3,0.0,top
R9,166.475,-59.45,180.0,top
SW1,233.9,-84.8,270.0,top
SW2,242.725,-94.4,90.0,top
U1,194.2,-76.8,90.0,top
U2,167.1475,-94.065,180.0,top
U3,166.325,-62.65,0.0,top
U4,214.9625,-65.1625,270.0,top
U5,217.4625,-79.62,90.0,top
Y1,205.5,-75.1,0.0,top
Y2,214.18,-59.85,0.0,top
Y3,223.1,-78.9,90.0,top
